scenario,pv_penetration,ambient_delta_c,load_growth_pct_yr
baseline,0.0,0.0,0.0
pv10_tropical_today,0.1,0.0,0.0
pv30_tropical_today,0.3,0.0,0.0
pv50_tropical_today,0.5,0.0,0.0
pv75_tropical_today,0.75,0.0,0.0
pv30_warmer_2030,0.3,1.0,4.5
pv50_warmer_2030,0.5,1.0,4.5
pv50_warmer_2040,0.5,2.0,4.5
pv50_ev30_today,0.5,0.0,0.0
pv75_battery5mwh_today,0.75,0.0,0.0
pv75_battery5mwh_ev30_warmer_2030,0.75,1.0,4.5
pv000_dt00_gr000,0.0,0.0,0.0
pv000_dt00_gr045,0.0,0.0,4.5
pv000_dt10_gr000,0.0,1.0,0.0
pv000_dt10_gr045,0.0,1.0,4.5
pv000_dt20_gr000,0.0,2.0,0.0
pv000_dt20_gr045,0.0,2.0,4.5
pv010_dt00_gr000,0.1,0.0,0.0
pv010_dt00_gr045,0.1,0.0,4.5
pv010_dt10_gr000,0.1,1.0,0.0
pv010_dt10_gr045,0.1,1.0,4.5
pv010_dt20_gr000,0.1,2.0,0.0
pv010_dt20_gr045,0.1,2.0,4.5
pv030_dt00_gr000,0.3,0.0,0.0
pv030_dt00_gr045,0.3,0.0,4.5
pv030_dt10_gr000,0.3,1.0,0.0
pv030_dt10_gr045,0.3,1.0,4.5
pv030_dt20_gr000,0.3,2.0,0.0
pv030_dt20_gr045,0.3,2.0,4.5
pv050_dt00_gr000,0.5,0.0,0.0
pv050_dt00_gr045,0.5,0.0,4.5
pv050_dt10_gr000,0.5,1.0,0.0
pv050_dt10_gr045,0.5,1.0,4.5
pv050_dt20_gr000,0.5,2.0,0.0
pv050_dt20_gr045,0.5,2.0,4.5
pv075_dt00_gr000,0.75,0.0,0.0
pv075_dt00_gr045,0.75,0.0,4.5
pv075_dt10_gr000,0.75,1.0,0.0
pv075_dt10_gr045,0.75,1.0,4.5
pv075_dt20_gr000,0.75,2.0,0.0
pv075_dt20_gr045,0.75,2.0,4.5
