scenario_name,pv_penetration,ambient_delta_c,n_runs,lol_pct_mean,lol_pct_std,lol_pct_p5,lol_pct_p95,peak_ths_mean,reverse_flow_h_mean
baseline,0.0,0.0,1000,0.0342,0.0002,0.0339,0.0345,85.7593,0.0
pv000_dt00_gr000,0.0,0.0,1000,0.0342,0.0002,0.0339,0.0345,85.7593,0.0
pv000_dt00_gr045,0.0,0.0,1000,0.0454,0.0002,0.045,0.0457,87.6787,0.0
pv000_dt10_gr000,0.0,1.0,1000,0.0367,0.0002,0.0364,0.037,86.1104,0.0
pv000_dt10_gr045,0.0,1.0,1000,0.0488,0.0002,0.0484,0.0491,87.9861,0.0
pv000_dt20_gr000,0.0,2.0,1000,0.0393,0.0002,0.039,0.0396,86.3288,0.0
pv000_dt20_gr045,0.0,2.0,1000,0.0525,0.0003,0.052,0.0529,88.1566,0.0
pv010_dt00_gr000,0.1,0.0,1000,0.0328,0.0002,0.0325,0.0331,85.7273,0.0
pv010_dt00_gr045,0.1,0.0,1000,0.0431,0.0002,0.0428,0.0434,87.5308,0.0
pv010_dt10_gr000,0.1,1.0,1000,0.0353,0.0002,0.035,0.0356,86.0719,0.0
pv010_dt10_gr045,0.1,1.0,1000,0.046,0.0002,0.0456,0.0463,87.8194,0.0
pv010_dt20_gr000,0.1,2.0,1000,0.0377,0.0002,0.0374,0.038,86.2788,0.0
pv010_dt20_gr045,0.1,2.0,1000,0.049,0.0002,0.0486,0.0494,87.9796,0.0
pv030_dt00_gr000,0.3,0.0,1000,0.0303,0.0002,0.03,0.0307,85.6009,0.0
pv030_dt00_gr045,0.3,0.0,1000,0.0408,0.0002,0.0404,0.0411,87.4503,0.0
pv030_dt10_gr000,0.3,1.0,1000,0.0325,0.0002,0.0322,0.0329,85.9594,0.0
pv030_dt10_gr045,0.3,1.0,1000,0.0434,0.0002,0.043,0.0437,87.709,0.0
pv030_dt20_gr000,0.3,2.0,1000,0.0348,0.0002,0.0344,0.0351,86.176,0.0
pv030_dt20_gr045,0.3,2.0,1000,0.046,0.0002,0.0456,0.0464,87.8371,0.0
pv050_dt00_gr000,0.5,0.0,1000,0.0285,0.0002,0.0282,0.0289,85.4635,0.0
pv050_dt00_gr045,0.5,0.0,1000,0.0376,0.0003,0.0372,0.0381,87.3492,0.0
pv050_dt10_gr000,0.5,1.0,1000,0.0305,0.0002,0.0301,0.0309,85.8383,0.0
pv050_dt10_gr045,0.5,1.0,1000,0.04,0.0003,0.0396,0.0405,87.604,0.0
pv050_dt20_gr000,0.5,2.0,1000,0.0325,0.0002,0.0321,0.0329,86.0647,0.0
pv050_dt20_gr045,0.5,2.0,1000,0.0424,0.0003,0.0419,0.0429,87.7304,0.0
pv075_dt00_gr000,0.75,0.0,1000,0.0277,0.0002,0.0273,0.028,85.414,642.738
pv075_dt00_gr045,0.75,0.0,1000,0.0355,0.0003,0.035,0.0359,87.252,485.226
pv075_dt10_gr000,0.75,1.0,1000,0.0295,0.0002,0.0292,0.0299,85.7886,642.738
pv075_dt10_gr045,0.75,1.0,1000,0.0376,0.0003,0.0371,0.0381,87.5143,485.226
pv075_dt20_gr000,0.75,2.0,1000,0.0314,0.0002,0.031,0.0318,86.0155,642.738
pv075_dt20_gr045,0.75,2.0,1000,0.0398,0.0003,0.0392,0.0403,87.6423,485.226
pv10_tropical_today,0.1,0.0,1000,0.0328,0.0002,0.0325,0.0331,85.7273,0.0
pv30_tropical_today,0.3,0.0,1000,0.0303,0.0002,0.03,0.0307,85.6009,0.0
pv30_warmer_2030,0.3,1.0,1000,0.0434,0.0002,0.043,0.0437,87.709,0.0
pv50_ev30_today,0.5,0.0,1000,0.0405,0.0003,0.0401,0.0409,87.0787,0.0
pv50_tropical_today,0.5,0.0,1000,0.0285,0.0002,0.0282,0.0289,85.4635,0.0
pv50_warmer_2030,0.5,1.0,1000,0.04,0.0003,0.0396,0.0405,87.604,0.0
pv50_warmer_2040,0.5,2.0,1000,0.0424,0.0003,0.0419,0.0429,87.7304,0.0
pv75_battery5mwh_ev30_warmer_2030,0.75,1.0,1000,0.0506,0.0004,0.05,0.0512,88.611,39.296
pv75_battery5mwh_today,0.75,0.0,1000,0.0273,0.0002,0.027,0.0276,84.6643,642.738
pv75_tropical_today,0.75,0.0,1000,0.0277,0.0002,0.0273,0.028,85.414,642.738
